t,steering_angle,speed
11.896,0.0,4.0
11.929,0.0,4.0
11.962,0.0,4.0
11.996,0.0,4.0
12.029,0.0,4.0
12.062,0.0,4.0
12.096,0.0,4.0
12.129,0.0,4.0
12.162,0.0,4.0
12.196,0.0,4.0
12.229,0.0,4.0
12.262,0.0,4.0
12.296,0.0,4.0
12.329,0.0,4.0
12.362,0.0,4.0
12.396,0.0,4.0
12.429,0.0,4.0
12.462,0.0,4.0
12.496,0.0,4.0
12.529,0.0,4.0
12.562,0.0,4.0
12.596,0.0,4.0
12.629,0.0,4.0
12.662,0.0,4.0
12.696,0.0,4.0
12.729,0.0,4.0
12.762,0.0,4.0
12.796,0.0,4.0
12.829,0.0,4.0
12.862,0.0,4.0
12.896,0.0,4.0
12.929,0.0,4.0
12.962,0.0,4.0
12.996,0.0,4.0
13.029,0.0,4.0
13.062,0.0,4.0
13.096,0.0,4.0
13.129,0.0,4.0
13.162,0.0,4.0
13.196,0.0,4.0
13.229,0.0,4.0
13.262,0.0,4.0
13.296,0.0,4.0
13.329,0.0,4.0
13.362,0.0,4.0
13.396,0.0,4.0
13.429,0.0,4.0
13.462,0.0,4.0
13.496,0.0,4.0
13.529,0.0,4.0
13.562,0.0,4.0
13.596,0.0,4.0
13.629,0.0,4.0
13.662,0.0,4.0
13.696,0.0,4.0
13.729,0.0,4.0
13.762,0.0,4.0
13.796,0.0,4.0
13.829,0.0,4.0
13.862,0.0,4.0
13.896,0.0,4.0
13.929,0.0,4.0
13.962,0.0,4.0
13.996,0.0,4.0
14.029,0.0,4.0
14.062,0.0,4.0
14.096,0.0,4.0
14.129,0.0,4.0
14.162,0.0,4.0
14.196,0.0,4.0
14.229,0.0,4.0
14.262,0.0,4.0
14.296,0.0,4.0
14.329,0.0,4.0
14.362,0.0,4.0
14.396,0.0,4.0
14.429,0.0,4.0
14.462,0.0,4.0
14.496,0.0,4.0
14.529,0.0,4.0
14.562,0.0,4.0
14.596,0.0,4.0
14.629,0.0,4.0
14.662,0.0,4.0
14.696,0.0,4.0
14.729,0.0,4.0
14.762,0.0,4.0
14.796,0.0,4.0
14.829,0.0,4.0
14.862,0.0,4.0
14.896,0.0,4.0
14.929,0.0,4.0
14.962,0.0,4.0
14.996,0.0,4.0
15.029,0.0,4.0
15.062,0.0,4.0
15.096,0.0,4.0
15.129,0.0,4.0
15.162,0.0,4.0
15.196,0.0,4.0
15.229,0.0,4.0
15.262,0.0,4.0
15.296,0.0,4.0
15.329,0.0,4.0
15.362,0.0,4.0
15.396,0.0,4.0
15.429,0.0,4.0
15.462,0.0,4.0
15.496,0.0,4.0
15.529,0.0,4.0
15.562,0.0,4.0
15.596,0.0,4.0
15.629,0.0,4.0
15.662,0.0,4.0
15.696,0.0,4.0
15.729,0.0,4.0
15.762,0.0,4.0
15.796,0.0,4.0
15.829,0.0,4.0
15.862,0.0,4.0
15.896,0.0,4.0
15.929,0.0,4.0
15.962,0.0,4.0
15.996,0.0,4.0
16.029,0.0,4.0
16.062,0.0,4.0
16.096,0.0,4.0
16.129,0.0,4.0
16.162,0.0,4.0
16.196,0.0,4.0
16.229,0.0,4.0
16.262,0.0,4.0
16.296,0.0,4.0
16.329,0.0,4.0
16.362,0.0,4.0
16.396,0.0,4.0
16.429,0.0,4.0
16.462,0.0,4.0
16.496,0.0,4.0
16.529,0.0,4.0
16.562,0.0,4.0
16.596,0.0,4.0
16.629,0.0,4.0
16.662,0.0,4.0
16.696,0.10000000149011612,4.0
16.729,0.10000000149011612,4.0
16.762,0.10000000149011612,4.0
16.796,0.10000000149011612,4.0
16.829,0.10000000149011612,4.0
16.862,0.10000000149011612,4.0
16.896,0.10000000149011612,4.0
16.929,0.10000000149011612,4.0
16.962,0.10000000149011612,4.0
16.996,0.10000000149011612,4.0
17.029,0.10000000149011612,4.0
17.062,0.10000000149011612,4.0
17.096,0.10000000149011612,4.0
17.129,0.10000000149011612,4.0
17.162,0.10000000149011612,4.0
17.196,0.10000000149011612,4.0
17.229,0.10000000149011612,4.0
17.262,0.10000000149011612,4.0
17.296,0.10000000149011612,4.0
17.329,0.10000000149011612,4.0
17.362,0.10000000149011612,4.0
17.396,0.10000000149011612,4.0
17.429,0.10000000149011612,4.0
17.462,0.10000000149011612,4.0
17.496,0.10000000149011612,4.0
17.529,0.10000000149011612,4.0
17.562,0.10000000149011612,4.0
17.596,0.10000000149011612,4.0
17.629,0.10000000149011612,4.0
17.662,0.10000000149011612,4.0
17.696,0.10000000149011612,4.0
17.729,0.10000000149011612,4.0
17.762,0.10000000149011612,4.0
17.796,0.10000000149011612,4.0
17.829,0.10000000149011612,4.0
17.862,0.10000000149011612,4.0
17.896,0.10000000149011612,4.0
17.929,0.10000000149011612,4.0
17.962,0.10000000149011612,4.0
17.996,0.10000000149011612,4.0
18.029,0.10000000149011612,4.0
18.062,0.10000000149011612,4.0
18.096,0.10000000149011612,4.0
18.129,0.10000000149011612,4.0
18.162,0.10000000149011612,4.0
18.196,0.10000000149011612,4.0
18.229,0.10000000149011612,4.0
18.262,0.10000000149011612,4.0
18.296,0.10000000149011612,4.0
18.329,0.10000000149011612,4.0
18.362,0.10000000149011612,4.0
18.396,0.10000000149011612,4.0
18.429,0.10000000149011612,4.0
18.462,0.10000000149011612,4.0
18.496,0.10000000149011612,4.0
18.529,0.10000000149011612,4.0
18.562,0.10000000149011612,4.0
18.596,0.10000000149011612,4.0
18.629,0.10000000149011612,4.0
18.662,0.10000000149011612,4.0
18.696,0.10000000149011612,4.0
18.729,0.10000000149011612,4.0
18.762,0.10000000149011612,4.0
18.796,0.10000000149011612,4.0
18.829,0.10000000149011612,4.0
18.862,0.10000000149011612,4.0
18.896,0.10000000149011612,4.0
18.929,0.10000000149011612,4.0
18.962,0.10000000149011612,4.0
18.996,0.10000000149011612,4.0
19.029,0.10000000149011612,4.0
19.062,0.10000000149011612,4.0
19.096,0.10000000149011612,4.0
19.129,0.10000000149011612,4.0
19.162,0.10000000149011612,4.0
19.196,0.10000000149011612,4.0
19.229,0.10000000149011612,4.0
19.262,0.10000000149011612,4.0
19.296,0.10000000149011612,4.0
19.329,0.10000000149011612,4.0
19.362,0.10000000149011612,4.0
19.396,0.10000000149011612,4.0
19.429,0.10000000149011612,4.0
19.462,0.10000000149011612,4.0
19.496,0.10000000149011612,4.0
19.529,0.10000000149011612,4.0
19.562,0.10000000149011612,4.0
19.596,0.10000000149011612,4.0
19.629,0.10000000149011612,4.0
19.662,0.10000000149011612,4.0
19.696,0.10000000149011612,4.0
19.729,0.10000000149011612,4.0
19.762,0.10000000149011612,4.0
19.796,0.10000000149011612,4.0
19.829,0.10000000149011612,4.0
19.862,0.10000000149011612,4.0
19.896,0.10000000149011612,4.0
19.929,0.10000000149011612,4.0
19.962,0.10000000149011612,4.0
19.996,0.10000000149011612,4.0
20.029,0.10000000149011612,4.0
20.062,0.10000000149011612,4.0
20.096,0.10000000149011612,4.0
20.129,0.10000000149011612,4.0
20.162,0.10000000149011612,4.0
20.196,0.10000000149011612,4.0
20.229,0.10000000149011612,4.0
20.262,0.10000000149011612,4.0
20.296,0.10000000149011612,4.0
20.329,0.10000000149011612,4.0
20.362,0.10000000149011612,4.0
20.396,0.10000000149011612,4.0
20.429,0.10000000149011612,4.0
20.462,0.10000000149011612,4.0
20.496,0.10000000149011612,4.0
20.529,0.10000000149011612,4.0
20.562,0.10000000149011612,4.0
20.596,0.10000000149011612,4.0
20.629,0.10000000149011612,4.0
20.662,0.10000000149011612,4.0
20.696,0.10000000149011612,4.0
20.729,0.10000000149011612,4.0
20.762,0.10000000149011612,4.0
20.796,0.10000000149011612,4.0
20.829,0.10000000149011612,4.0
20.862,0.10000000149011612,4.0
20.896,0.10000000149011612,4.0
20.929,0.10000000149011612,4.0
20.962,0.10000000149011612,4.0
20.996,0.10000000149011612,4.0
21.029,0.10000000149011612,4.0
21.062,0.10000000149011612,4.0
21.096,0.10000000149011612,4.0
21.129,0.10000000149011612,4.0
21.162,0.10000000149011612,4.0
21.196,0.10000000149011612,4.0
21.229,0.10000000149011612,4.0
21.262,0.10000000149011612,4.0
21.296,0.10000000149011612,4.0
21.329,0.10000000149011612,4.0
21.362,0.10000000149011612,4.0
21.396,0.10000000149011612,4.0
21.429,0.10000000149011612,4.0
21.462,0.10000000149011612,4.0
21.496,0.10000000149011612,4.0
21.529,0.10000000149011612,4.0
21.562,0.10000000149011612,4.0
21.596,0.10000000149011612,4.0
21.629,0.10000000149011612,4.0
21.662,0.10000000149011612,4.0
21.696,0.10000000149011612,4.0
21.729,0.10000000149011612,4.0
21.762,0.10000000149011612,4.0
21.796,0.10000000149011612,4.0
21.829,0.10000000149011612,4.0
21.862,0.10000000149011612,4.0
21.896,0.10000000149011612,4.0
21.929,0.10000000149011612,4.0
21.962,0.10000000149011612,4.0
21.996,0.10000000149011612,4.0
22.029,0.10000000149011612,4.0
22.062,0.10000000149011612,4.0
22.096,0.10000000149011612,4.0
22.129,0.10000000149011612,4.0
22.162,0.10000000149011612,4.0
22.196,0.10000000149011612,4.0
22.229,0.10000000149011612,4.0
22.262,0.10000000149011612,4.0
22.296,0.10000000149011612,4.0
22.329,0.10000000149011612,4.0
22.362,0.10000000149011612,4.0
22.396,0.10000000149011612,4.0
22.429,0.10000000149011612,4.0
22.462,0.10000000149011612,4.0
22.496,0.10000000149011612,4.0
22.529,0.10000000149011612,4.0
22.562,0.10000000149011612,4.0
22.596,0.10000000149011612,4.0
22.629,0.10000000149011612,4.0
22.662,0.10000000149011612,4.0
22.696,0.10000000149011612,4.0
22.729,0.10000000149011612,4.0
22.762,0.10000000149011612,4.0
22.796,0.10000000149011612,4.0
22.829,0.10000000149011612,4.0
22.862,0.10000000149011612,4.0
22.896,0.10000000149011612,4.0
22.929,0.10000000149011612,4.0
22.962,0.10000000149011612,4.0
22.996,0.10000000149011612,4.0
23.029,0.10000000149011612,4.0
23.062,0.10000000149011612,4.0
23.096,0.10000000149011612,4.0
23.129,0.10000000149011612,4.0
23.162,0.10000000149011612,4.0
23.196,0.10000000149011612,4.0
23.229,0.10000000149011612,4.0
23.262,0.10000000149011612,4.0
23.296,0.10000000149011612,4.0
23.329,0.10000000149011612,4.0
23.362,0.10000000149011612,4.0
23.396,0.10000000149011612,4.0
23.429,0.10000000149011612,4.0
23.462,0.10000000149011612,4.0
23.496,0.10000000149011612,4.0
23.529,0.10000000149011612,4.0
23.562,0.10000000149011612,4.0
23.596,0.10000000149011612,4.0
23.629,0.10000000149011612,4.0
23.662,0.10000000149011612,4.0
23.696,0.10000000149011612,4.0
23.729,0.10000000149011612,4.0
23.762,0.10000000149011612,4.0
23.796,0.10000000149011612,4.0
23.829,0.10000000149011612,4.0
23.862,0.10000000149011612,4.0
23.896,0.10000000149011612,4.0
23.929,0.10000000149011612,4.0
23.962,0.10000000149011612,4.0
23.996,0.10000000149011612,4.0
24.029,0.10000000149011612,4.0
24.062,0.10000000149011612,4.0
24.096,0.10000000149011612,4.0
24.129,0.10000000149011612,4.0
24.162,0.10000000149011612,4.0
24.196,0.10000000149011612,4.0
24.229,0.10000000149011612,4.0
24.262,0.10000000149011612,4.0
24.296,0.10000000149011612,4.0
24.329,0.10000000149011612,4.0
24.362,0.10000000149011612,4.0
24.396,0.10000000149011612,4.0
24.429,0.10000000149011612,4.0
24.462,0.10000000149011612,4.0
24.496,0.10000000149011612,4.0
24.529,0.10000000149011612,4.0
24.562,0.10000000149011612,4.0
24.596,0.10000000149011612,4.0
24.629,0.10000000149011612,4.0
24.662,0.10000000149011612,4.0
24.696,0.10000000149011612,4.0
24.729,0.10000000149011612,4.0
24.762,0.10000000149011612,4.0
24.796,0.10000000149011612,4.0
24.829,0.10000000149011612,4.0
24.862,0.10000000149011612,4.0
24.896,0.10000000149011612,4.0
24.929,0.10000000149011612,4.0
24.962,0.10000000149011612,4.0
24.996,0.10000000149011612,4.0
25.029,0.10000000149011612,4.0
25.062,0.10000000149011612,4.0
25.096,0.10000000149011612,4.0
25.129,0.10000000149011612,4.0
25.162,0.10000000149011612,4.0
25.196,0.10000000149011612,4.0
25.229,0.10000000149011612,4.0
25.262,0.10000000149011612,4.0
25.296,0.10000000149011612,4.0
25.329,0.10000000149011612,4.0
25.362,0.10000000149011612,4.0
25.396,0.10000000149011612,4.0
25.429,0.10000000149011612,4.0
25.462,0.10000000149011612,4.0
25.496,0.10000000149011612,4.0
25.529,0.10000000149011612,4.0
25.562,0.10000000149011612,4.0
25.596,0.10000000149011612,4.0
25.629,0.10000000149011612,4.0
